ID,Pred
2019_1101_1113,0.17429185917809883 	 Abilene Chr-Arizona St
2019_1101_1326,0.14362970084062773 	 Abilene Chr-Ohio St
2019_1101_1328,0.14900294147751256 	 Abilene Chr-Oklahoma
2019_1101_1330,0.3324388484649422 	 Abilene Chr-Old Dominion
2019_1101_1332,0.08495520271419965 	 Abilene Chr-Oregon
2019_1101_1341,0.6947456818897906 	 Abilene Chr-Prairie View
2019_1101_1345,0.047734746083504004 	 Abilene Chr-Purdue
2019_1101_1371,0.17206624201885734 	 Abilene Chr-Seton Hall
2019_1101_1385,0.2259362974721438 	 Abilene Chr-St John's
2019_1101_1387,0.2747432441161973 	 Abilene Chr-St Louis
2019_1101_1388,0.04650620411689405 	 Abilene Chr-St Mary's CA
2019_1101_1393,0.08691214480883355 	 Abilene Chr-Syracuse
2019_1101_1396,0.20641736082338835 	 Abilene Chr-Temple
2019_1101_1397,0.03777095409992852 	 Abilene Chr-Tennessee
2019_1101_1403,0.03782524523838697 	 Abilene Chr-Texas Tech
2019_1101_1414,0.29832276919199685 	 Abilene Chr-UC Irvine
2019_1101_1416,0.08659531343714934 	 Abilene Chr-UCF
2019_1101_1429,0.05687430313391727 	 Abilene Chr-Utah St
2019_1101_1433,0.06434350573152875 	 Abilene Chr-VA Commonwealth
2019_1101_1436,0.18861106156993152 	 Abilene Chr-Vermont
2019_1101_1437,0.08506850717330762 	 Abilene Chr-Villanova
2019_1101_1438,0.014393205715574014 	 Abilene Chr-Virginia
2019_1101_1439,0.04054799013480009 	 Abilene Chr-Virginia Tech
2019_1101_1449,0.11702738106549057 	 Abilene Chr-Washington
2019_1101_1458,0.05773828927072096 	 Abilene Chr-Wisconsin
2019_1101_1459,0.07636290955663626 	 Abilene Chr-Wofford
2019_1101_1463,0.22460818613396452 	 Abilene Chr-Yale
2019_1113_1120,0.1549842582346855 	 Arizona St-Auburn
2019_1113_1124,0.43820931433188104 	 Arizona St-Baylor
2019_1113_1125,0.44928113197918956 	 Arizona St-Belmont
2019_1113_1133,0.8387976871657502 	 Arizona St-Bradley
2019_1113_1138,0.1675364057080016 	 Arizona St-Buffalo
2019_1113_1153,0.21139258488144008 	 Arizona St-Cincinnati
2019_1113_1159,0.7154751192550898 	 Arizona St-Colgate
2019_1113_1181,0.023288629337534138 	 Arizona St-Duke
2019_1113_1192,0.8897521273204207 	 Arizona St-F Dickinson
2019_1113_1196,0.36525856790129624 	 Arizona St-Florida
2019_1113_1199,0.19650977281919307 	 Arizona St-Florida St
2019_1113_1205,0.8615455921227435 	 Arizona St-Gardner Webb
2019_1113_1209,0.7054667864098584 	 Arizona St-Georgia St
2019_1113_1211,0.021674496511261323 	 Arizona St-Gonzaga
2019_1113_1222,0.129914377199888 	 Arizona St-Houston
2019_1113_1233,0.8692643444982433 	 Arizona St-Iona
2019_1113_1234,0.4900295724783984 	 Arizona St-Iowa
2019_1113_1235,0.2151452998603608 	 Arizona St-Iowa St
2019_1113_1242,0.17101548464233768 	 Arizona St-Kansas
2019_1113_1243,0.3608138289420419 	 Arizona St-Kansas St
2019_1113_1246,0.11720681139772583 	 Arizona St-Kentucky
2019_1113_1251,0.6700897938132111 	 Arizona St-Liberty
2019_1113_1257,0.19363158966994298 	 Arizona St-Louisville
2019_1113_1261,0.2334072272020333 	 Arizona St-LSU
2019_1113_1266,0.2490636012431212 	 Arizona St-Marquette
2019_1113_1268,0.291109349752998 	 Arizona St-Maryland
2019_1113_1276,0.11962685860880942 	 Arizona St-Michigan
2019_1113_1277,0.08847177576155482 	 Arizona St-Michigan St
2019_1113_1278,0.5536160188343522 	 Arizona St-Minnesota
2019_1113_1279,0.4696874785181023 	 Arizona St-Mississippi
2019_1113_1280,0.21389913502238764 	 Arizona St-Mississippi St
2019_1113_1285,0.6422051974005862 	 Arizona St-Montana
2019_1113_1293,0.41766198360560425 	 Arizona St-Murray St
2019_1113_1295,0.8221906548821847 	 Arizona St-N Dakota St
2019_1113_1297,0.6711941776388641 	 Arizona St-N Kentucky
2019_1113_1300,0.9501310091104048 	 Arizona St-NC Central
2019_1113_1305,0.19735380825686138 	 Arizona St-Nevada
2019_1113_1308,0.4440992756381482 	 Arizona St-New Mexico St
2019_1113_1314,0.04518120476733864 	 Arizona St-North Carolina
2019_1113_1318,0.5093141772232667 	 Arizona St-Northeastern
2019_1113_1326,0.4379101780853866 	 Arizona St-Ohio St
2019_1113_1328,0.44852649002732026 	 Arizona St-Oklahoma
2019_1113_1330,0.6981790216703283 	 Arizona St-Old Dominion
2019_1113_1332,0.3013173997512326 	 Arizona St-Oregon
2019_1113_1341,0.913585158624638 	 Arizona St-Prairie View
2019_1113_1345,0.1888702896916057 	 Arizona St-Purdue
2019_1113_1371,0.4911916477164314 	 Arizona St-Seton Hall
2019_1113_1385,0.5755215611894868 	 Arizona St-St John's
2019_1113_1387,0.6376381887507566 	 Arizona St-St Louis
2019_1113_1388,0.18471394873659955 	 Arizona St-St Mary's CA
2019_1113_1393,0.30658837235906133 	 Arizona St-Syracuse
2019_1113_1396,0.5471492525114351 	 Arizona St-Temple
2019_1113_1397,0.15421785680042668 	 Arizona St-Tennessee
2019_1113_1403,0.1544126663166307 	 Arizona St-Texas Tech
2019_1113_1414,0.6638545383124436 	 Arizona St-UC Irvine
2019_1113_1416,0.3057388731024136 	 Arizona St-UCF
2019_1113_1429,0.21882286194846234 	 Arizona St-Utah St
2019_1113_1433,0.24210087016240292 	 Arizona St-VA Commonwealth
2019_1113_1436,0.5191796007552709 	 Arizona St-Vermont
2019_1113_1437,0.30162414784318325 	 Arizona St-Villanova
2019_1113_1438,0.06352527628045318 	 Arizona St-Virginia
2019_1113_1439,0.16409636085048798 	 Arizona St-Virginia Tech
2019_1113_1449,0.38105570757645885 	 Arizona St-Washington
2019_1113_1458,0.22156906044342653 	 Arizona St-Wisconsin
2019_1113_1459,0.27747812991515625 	 Arizona St-Wofford
2019_1113_1463,0.5736614303737348 	 Arizona St-Yale
2019_1120_1124,0.8065304659904847 	 Auburn-Baylor
2019_1120_1125,0.8134338340323102 	 Auburn-Belmont
2019_1120_1133,0.9652887566422027 	 Auburn-Bradley
2019_1120_1138,0.5182083085901356 	 Auburn-Buffalo
2019_1120_1153,0.5889200328338756 	 Auburn-Cincinnati
2019_1120_1159,0.9307443809301413 	 Auburn-Colgate
2019_1120_1181,0.1130286172138845 	 Auburn-Duke
2019_1120_1192,0.9773407225893368 	 Auburn-F Dickinson
2019_1120_1196,0.7546266243899935 	 Auburn-Florida
2019_1120_1199,0.566553075848445 	 Auburn-Florida St
2019_1120_1205,0.9708082025212548 	 Auburn-Gardner Webb
2019_1120_1209,0.9275414082010167 	 Auburn-Georgia St
2019_1120_1211,0.10586880507171677 	 Auburn-Gonzaga
2019_1120_1222,0.44382275288638967 	 Auburn-Houston
2019_1120_1233,0.9726291464501273 	 Auburn-Iona
2019_1120_1234,0.8370127428534742 	 Auburn-Iowa
2019_1120_1235,0.5943238711820306 	 Auburn-Iowa St
2019_1120_1242,0.5243823705813816 	 Auburn-Kansas
2019_1120_1243,0.7510500885842042 	 Auburn-Kansas St
2019_1120_1246,0.41505744975249365 	 Auburn-Kentucky
2019_1120_1251,0.9156489259656531 	 Auburn-Liberty
2019_1120_1257,0.5620462621486847 	 Auburn-Louisville
2019_1120_1261,0.6193719267424763 	 Auburn-LSU
2019_1120_1266,0.6393263711294231 	 Auburn-Marquette
2019_1120_1268,0.6869829811534738 	 Auburn-Maryland
2019_1120_1276,0.42069666207972284 	 Auburn-Michigan
2019_1120_1277,0.34155220475071035 	 Auburn-Michigan St
2019_1120_1278,0.8689089341730305 	 Auburn-Minnesota
2019_1120_1279,0.8255850865185806 	 Auburn-Mississippi
2019_1120_1280,0.5925395460401826 	 Auburn-Mississippi St
2019_1120_1285,0.9055953721459411 	 Auburn-Montana
2019_1120_1293,0.7930937528749115 	 Auburn-Murray St
2019_1120_1295,0.9611086162670222 	 Auburn-N Dakota St
2019_1120_1297,0.9160342964569235 	 Auburn-N Kentucky
2019_1120_1300,0.9902747300904513 	 Auburn-NC Central
2019_1120_1305,0.5678632053499788 	 Auburn-Nevada
2019_1120_1308,0.8102311274054479 	 Auburn-New Mexico St
2019_1120_1314,0.20184767546022725 	 Auburn-North Carolina
2019_1120_1318,0.8472657984153215 	 Auburn-Northeastern
2019_1120_1326,0.8063407776334833 	 Auburn-Ohio St
2019_1120_1328,0.8129704612251193 	 Auburn-Oklahoma
2019_1120_1330,0.9251656476794932 	 Auburn-Old Dominion
2019_1120_1332,0.6974157364905457 	 Auburn-Oregon
2019_1120_1341,0.9826092218274319 	 Auburn-Prairie View
2019_1120_1345,0.5544548457646498 	 Auburn-Purdue
2019_1120_1371,0.8376461055865563 	 Auburn-Seton Hall
2019_1120_1385,0.8787312290022042 	 Auburn-St John's
2019_1120_1387,0.9038872024647343 	 Auburn-St Louis
2019_1120_1388,0.547685539491624 	 Auburn-St Mary's CA
2019_1120_1393,0.7026473894396356 	 Auburn-Syracuse
2019_1120_1396,0.8659034439609253 	 Auburn-Temple
2019_1120_1397,0.49354003856905154 	 Auburn-Tennessee
2019_1120_1403,0.49391317225651526 	 Auburn-Texas Tech
2019_1120_1414,0.9134552953994125 	 Auburn-UC Irvine
2019_1120_1416,0.7018111834714771 	 Auburn-UCF
2019_1120_1429,0.5995318567787112 	 Auburn-Utah St
2019_1120_1433,0.6306155483176593 	 Auburn-VA Commonwealth
2019_1120_1436,0.8523069170307073 	 Auburn-Vermont
2019_1120_1437,0.697723038383489 	 Auburn-Villanova
2019_1120_1438,0.26607465595804064 	 Auburn-Virginia
2019_1120_1439,0.511996384973733 	 Auburn-Virginia Tech
2019_1120_1449,0.7669171088972362 	 Auburn-Washington
2019_1120_1458,0.6033655891877884 	 Auburn-Wisconsin
2019_1120_1459,0.6723975001556693 	 Auburn-Wofford
2019_1120_1463,0.8779179583326903 	 Auburn-Yale
2019_1124_1125,0.5050097067762761 	 Baylor-Belmont
2019_1124_1133,0.8667963037973738 	 Baylor-Bradley
2019_1124_1138,0.20107747720575875 	 Baylor-Buffalo
2019_1124_1153,0.25106572095922425 	 Baylor-Cincinnati
2019_1124_1159,0.7587321802644689 	 Baylor-Colgate
2019_1124_1181,0.02895553677157861 	 Baylor-Duke
2019_1124_1192,0.9098518069346881 	 Baylor-F Dickinson
2019_1124_1196,0.4184846690111529 	 Baylor-Florida
2019_1124_1199,0.23421934608160483 	 Baylor-Florida St
2019_1124_1205,0.8861295766460573 	 Baylor-Gardner Webb
2019_1124_1209,0.7497131581634735 	 Baylor-Georgia St
2019_1124_1211,0.026959472526429395 	 Baylor-Gonzaga
2019_1124_1222,0.1573471057547932 	 Baylor-Houston
2019_1124_1233,0.8926485604205774 	 Baylor-Iona
2019_1124_1234,0.5458032619537085 	 Baylor-Iowa
2019_1124_1235,0.2552947280865254 	 Baylor-Iowa St
2019_1124_1242,0.20508148312873536 	 Baylor-Kansas
2019_1124_1243,0.4138144945410852 	 Baylor-Kansas St
2019_1124_1246,0.14239535455496002 	 Baylor-Kentucky
2019_1124_1251,0.7175226902710257 	 Baylor-Liberty
2019_1124_1257,0.23094760097001146 	 Baylor-Louisville
2019_1124_1261,0.27576718989838567 	 Baylor-LSU
2019_1124_1266,0.29317828980330163 	 Baylor-Marquette
2019_1124_1268,0.3393062829596658 	 Baylor-Maryland
2019_1124_1276,0.14524991456172942 	 Baylor-Michigan
2019_1124_1277,0.10824214415768765 	 Baylor-Michigan St
2019_1124_1278,0.6079985475467167 	 Baylor-Minnesota
2019_1124_1279,0.5255318170099654 	 Baylor-Mississippi
2019_1124_1280,0.25389123802120217 	 Baylor-Mississippi St
2019_1124_1285,0.6918032814379085 	 Baylor-Montana
2019_1124_1293,0.4728359040316705 	 Baylor-Murray St
2019_1124_1295,0.8525666980990021 	 Baylor-N Dakota St
2019_1124_1297,0.7185349864408122 	 Baylor-N Kentucky
2019_1124_1300,0.9597211257620182 	 Baylor-NC Central
2019_1124_1305,0.2351779419376421 	 Baylor-Nevada
2019_1124_1308,0.49976838515455013 	 Baylor-New Mexico St
2019_1124_1314,0.05587058217563541 	 Baylor-North Carolina
2019_1124_1318,0.564851657573712 	 Baylor-Northeastern
2019_1124_1326,0.4934921895814199 	 Baylor-Ohio St
2019_1124_1328,0.5042471660570409 	 Baylor-Oklahoma
2019_1124_1330,0.743121553545071 	 Baylor-Old Dominion
2019_1124_1332,0.3503690887845686 	 Baylor-Oregon
2019_1124_1341,0.9296831447644139 	 Baylor-Prairie View
2019_1124_1345,0.2255253491011189 	 Baylor-Purdue
2019_1124_1371,0.5469557448269126 	 Baylor-Seton Hall
2019_1124_1385,0.629023667041663 	 Baylor-St John's
2019_1124_1387,0.6875613567146225 	 Baylor-St Louis
2019_1124_1388,0.22078192572508668 	 Baylor-St Mary's CA
2019_1124_1393,0.35606084181597114 	 Baylor-Syracuse
2019_1124_1396,0.6017528836022678 	 Baylor-Temple
2019_1124_1397,0.1856872920685933 	 Baylor-Tennessee
2019_1124_1403,0.1859131160063877 	 Baylor-Texas Tech
2019_1124_1414,0.7117983411319015 	 Baylor-UC Irvine
2019_1124_1416,0.35514447128105187 	 Baylor-UCF
2019_1124_1429,0.259431728593335 	 Baylor-Utah St
2019_1124_1433,0.28545109762064175 	 Baylor-VA Commonwealth
2019_1124_1436,0.574533257022241 	 Baylor-Vermont
2019_1124_1437,0.3507007075956731 	 Baylor-Villanova
2019_1124_1438,0.07819921529350599 	 Baylor-Virginia
2019_1124_1439,0.19711180148922702 	 Baylor-Virginia Tech
2019_1124_1449,0.43500617889023047 	 Baylor-Washington
2019_1124_1458,0.26251629878855565 	 Baylor-Wisconsin
2019_1124_1459,0.32445116092070947 	 Baylor-Wofford
2019_1124_1463,0.6272461392421425 	 Baylor-Yale
2019_1125_1133,0.8623319085526832 	 Belmont-Bradley
2019_1125_1138,0.19502184040380466 	 Belmont-Buffalo
2019_1125_1153,0.24396435346472478 	 Belmont-Cincinnati
2019_1125_1159,0.7516835239525098 	 Belmont-Colgate
2019_1125_1181,0.02790247523090393 	 Belmont-Duke
2019_1125_1192,0.9066750747189273 	 Belmont-F Dickinson
2019_1125_1196,0.4092354238100268 	 Belmont-Florida
2019_1125_1199,0.22744976510539366 	 Belmont-Florida St
2019_1125_1205,0.8822251051929814 	 Belmont-Gardner Webb
2019_1125_1209,0.7424904380183167 	 Belmont-Georgia St
2019_1125_1211,0.025977062311190922 	 Belmont-Gonzaga
2019_1125_1222,0.15235729722602412 	 Belmont-Houston
2019_1125_1233,0.8889396014324161 	 Belmont-Iona
2019_1125_1234,0.5363353901227452 	 Belmont-Iowa
2019_1125_1235,0.24811337132330846 	 Belmont-Iowa St
2019_1125_1242,0.1989352879876256 	 Belmont-Kansas
2019_1125_1243,0.4045966524285121 	 Belmont-Kansas St
2019_1125_1246,0.13780215782036345 	 Belmont-Kentucky
2019_1125_1251,0.7097306882405323 	 Belmont-Liberty
2019_1125_1257,0.22424489152033633 	 Belmont-Louisville
2019_1125_1261,0.26821736309472854 	 Belmont-LSU
2019_1125_1266,0.2853395937753935 	 Belmont-Marquette
2019_1125_1268,0.33081149251337366 	 Belmont-Maryland
2019_1125_1276,0.14057973293185094 	 Belmont-Michigan
2019_1125_1277,0.10461622680670928 	 Belmont-Michigan St
2019_1125_1278,0.5988743373035922 	 Belmont-Minnesota
2019_1125_1279,0.5160160842255453 	 Belmont-Mississippi
2019_1125_1280,0.24673628052511218 	 Belmont-Mississippi St
2019_1125_1285,0.6836146509025303 	 Belmont-Montana
2019_1125_1293,0.46334254495641153 	 Belmont-Murray St
2019_1125_1295,0.847709180497556 	 Belmont-N Dakota St
2019_1125_1297,0.7107596518008662 	 Belmont-N Kentucky
2019_1125_1300,0.9582210439940055 	 Belmont-NC Central
2019_1125_1305,0.22838891805600783 	 Belmont-Nevada
2019_1125_1308,0.49023714839573185 	 Belmont-New Mexico St
2019_1125_1314,0.05389299448800801 	 Belmont-North Carolina
2019_1125_1318,0.5554574525117296 	 Belmont-Northeastern
2019_1125_1326,0.483964845129975 	 Belmont-Ohio St
2019_1125_1328,0.49471498731574953 	 Belmont-Oklahoma
2019_1125_1330,0.7357756540204482 	 Belmont-Old Dominion
2019_1125_1332,0.3417405917697373 	 Belmont-Oregon
2019_1125_1341,0.9271492940975439 	 Belmont-Prairie View
2019_1125_1345,0.21893520790061735 	 Belmont-Purdue
2019_1125_1371,0.5374915392673297 	 Belmont-Seton Hall
2019_1125_1385,0.6200830403497519 	 Belmont-St John's
2019_1125_1387,0.6793122655372722 	 Belmont-St Louis
2019_1125_1388,0.2142920412834482 	 Belmont-St Mary's CA
2019_1125_1393,0.3473671256934671 	 Belmont-Syracuse
2019_1125_1396,0.5925807144045669 	 Belmont-Temple
2019_1125_1397,0.17999072464259125 	 Belmont-Tennessee
2019_1125_1403,0.18021115386371328 	 Belmont-Texas Tech
2019_1125_1414,0.7039135946602848 	 Belmont-UC Irvine
2019_1125_1416,0.34646109139586556 	 Belmont-UCF
2019_1125_1429,0.2521734056139905 	 Belmont-Utah St
2019_1125_1433,0.2777378213793628 	 Belmont-VA Commonwealth
2019_1125_1436,0.5651871700581329 	 Belmont-Vermont
2019_1125_1437,0.34206834410480425 	 Belmont-Villanova
2019_1125_1438,0.07549448355997221 	 Belmont-Virginia
2019_1125_1439,0.191147020374167 	 Belmont-Virginia Tech
2019_1125_1449,0.4256590659466295 	 Belmont-Washington
2019_1125_1458,0.25520141535698526 	 Belmont-Wisconsin
2019_1125_1459,0.3161503164406324 	 Belmont-Wofford
2019_1125_1463,0.61828866964698 	 Belmont-Yale
2019_1133_1138,0.03626385598398615 	 Bradley-Buffalo
2019_1133_1153,0.04772680297985409 	 Bradley-Cincinnati
2019_1133_1159,0.3198021758180459 	 Bradley-Colgate
2019_1133_1181,0.00443831120550568 	 Bradley-Duke
2019_1133_1192,0.6014246052816549 	 Bradley-F Dickinson
2019_1133_1196,0.09713954930320255 	 Bradley-Florida
2019_1133_1199,0.0437277371590233 	 Bradley-Florida St
2019_1133_1205,0.537772819571267 	 Bradley-Gardner Webb
2019_1133_1209,0.3093116692167129 	 Bradley-Georgia St
2019_1133_1211,0.004125174144565366 	 Bradley-Gonzaga
2019_1133_1222,0.027158708206642537 	 Bradley-Houston
2019_1133_1233,0.5542018489419382 	 Bradley-Iona
2019_1133_1234,0.15229746337545924 	 Bradley-Iowa
2019_1133_1235,0.0487536881871646 	 Bradley-Iowa St
2019_1133_1242,0.03713853047161108 	 Bradley-Kansas
2019_1133_1243,0.09546676829664093 	 Bradley-Kansas St
2019_1133_1246,0.024222369535359018 	 Bradley-Kentucky
2019_1133_1251,0.27523623779468237 	 Bradley-Liberty
2019_1133_1257,0.04296761322813852 	 Bradley-Louisville
2019_1133_1261,0.053861234806562686 	 Bradley-LSU
2019_1133_1266,0.05839146661148157 	 Bradley-Marquette
2019_1133_1268,0.07130529261734568 	 Bradley-Maryland
2019_1133_1276,0.02477638901561948 	 Bradley-Michigan
2019_1133_1277,0.01782362343320631 	 Bradley-Michigan St
2019_1133_1278,0.1882356617476393 	 Bradley-Minnesota
2019_1133_1279,0.14206956917189514 	 Bradley-Mississippi
2019_1133_1280,0.04841184899217276 	 Bradley-Mississippi St
2019_1133_1285,0.2512683856887498 	 Bradley-Montana
2019_1133_1293,0.11824184052155105 	 Bradley-Murray St
2019_1133_1295,0.46367740764302645 	 Bradley-N Dakota St
2019_1133_1297,0.2762347442546021 	 Bradley-N Kentucky
2019_1133_1300,0.7808100677616931 	 Bradley-NC Central
2019_1133_1305,0.043951449184369384 	 Bradley-Nevada
2019_1133_1308,0.12995589479333125 	 Bradley-New Mexico St
2019_1133_1314,0.008769671381584037 	 Bradley-North Carolina
2019_1133_1318,0.16252682465421908 	 Bradley-Northeastern
2019_1133_1326,0.12714347342212873 	 Bradley-Ohio St
2019_1133_1328,0.1319950206562064 	 Bradley-Oklahoma
2019_1133_1330,0.3019212500236758 	 Bradley-Old Dominion
2019_1133_1332,0.0746169850587916 	 Bradley-Oregon
2019_1133_1341,0.6640533148427854 	 Bradley-Prairie View
2019_1133_1345,0.04171938799999262 	 Bradley-Purdue
2019_1133_1371,0.15289875577612191 	 Bradley-Seton Hall
2019_1133_1385,0.20223370451850498 	 Bradley-St John's
2019_1133_1387,0.2475579363025565 	 Bradley-St Louis
2019_1133_1388,0.04063905542490281 	 Bradley-St Mary's CA
2019_1133_1393,0.07635565801757058 	 Bradley-Syracuse
2019_1133_1396,0.18427498758330133 	 Bradley-Temple
2019_1133_1397,0.03296772733921678 	 Bradley-Tennessee
2019_1133_1403,0.033015351312373285 	 Bradley-Texas Tech
2019_1133_1414,0.2696718466068745 	 Bradley-UC Irvine
2019_1133_1416,0.07607410328041214 	 Bradley-UCF
2019_1133_1429,0.049767403544132095 	 Bradley-Utah St
2019_1133_1433,0.05635904354233725 	 Bradley-VA Commonwealth
2019_1133_1436,0.16797446951745817 	 Bradley-Vermont
2019_1133_1437,0.07471762733033882 	 Bradley-Villanova
2019_1133_1438,0.012524167527269685 	 Bradley-Virginia
2019_1133_1439,0.03540460931050909 	 Bradley-Virginia Tech
2019_1133_1449,0.10322657726252878 	 Bradley-Washington
2019_1133_1458,0.05052921190169253 	 Bradley-Wisconsin
2019_1133_1459,0.06699373796517834 	 Bradley-Wofford
2019_1133_1463,0.2010087419158932 	 Bradley-Yale
2019_1138_1153,0.5671856442445332 	 Buffalo-Cincinnati
2019_1138_1159,0.9247742121272832 	 Buffalo-Colgate
2019_1138_1181,0.10439697542730521 	 Buffalo-Duke
2019_1138_1192,0.9752807019503785 	 Buffalo-F Dickinson
2019_1138_1196,0.7377520150939869 	 Buffalo-Florida
2019_1138_1199,0.544550673156351 	 Buffalo-Florida St
2019_1138_1205,0.9681736311280582 	 Buffalo-Gardner Webb
2019_1138_1209,0.9213184690984163 	 Buffalo-Georgia St
2019_1138_1211,0.09772369407835729 	 Buffalo-Gonzaga
2019_1138_1222,0.4219468085886926 	 Buffalo-Houston
2019_1138_1233,0.9701538635435223 	 Buffalo-Iona
2019_1138_1234,0.8244861517569358 	 Buffalo-Iowa
2019_1138_1235,0.5726678753598249 	 Buffalo-Iowa St
2019_1138_1242,0.5021204937569399 	 Buffalo-Kansas
2019_1138_1243,0.7340162113793244 	 Buffalo-Kansas St
2019_1138_1246,0.39359596631444566 	 Buffalo-Kentucky
2019_1138_1251,0.9085053773730727 	 Buffalo-Liberty
2019_1138_1257,0.5400008332978723 	 Buffalo-Louisville
2019_1138_1261,0.598148961920778 	 Buffalo-LSU
2019_1138_1266,0.6185307651721541 	 Buffalo-Marquette
2019_1138_1268,0.6675061148229912 	 Buffalo-Maryland
2019_1138_1276,0.3991425591387682 	 Buffalo-Michigan
2019_1138_1277,0.3218005273586713 	 Buffalo-Michigan St
2019_1138_1278,0.8584191064857819 	 Buffalo-Minnesota
2019_1138_1279,0.8123770833369289 	 Buffalo-Mississippi
2019_1138_1280,0.5708570768326634 	 Buffalo-Mississippi St
2019_1138_1285,0.8976955332785582 	 Buffalo-Montana
2019_1138_1293,0.7780866299264277 	 Buffalo-Murray St
2019_1138_1295,0.9576368527877392 	 Buffalo-N Dakota St
2019_1138_1297,0.9089201378848926 	 Buffalo-N Kentucky
2019_1138_1300,0.9893777976997207 	 Buffalo-NC Central
2019_1138_1305,0.5458739997644083 	 Buffalo-Nevada
2019_1138_1308,0.7961475041247285 	 Buffalo-New Mexico St
2019_1138_1314,0.18786987568621039 	 Buffalo-North Carolina
2019_1138_1318,0.8353722288599325 	 Buffalo-Northeastern
2019_1138_1326,0.792042537895446 	 Buffalo-Ohio St
2019_1138_1328,0.799039712726439 	 Buffalo-Oklahoma
2019_1138_1330,0.9187565434607226 	 Buffalo-Old Dominion
2019_1138_1332,0.6782840255206817 	 Buffalo-Oregon
2019_1138_1341,0.9810188734779882 	 Buffalo-Prairie View
2019_1138_1345,0.5323452407188692 	 Buffalo-Purdue
2019_1138_1371,0.8251580241505201 	 Buffalo-Seton Hall
2019_1138_1385,0.8689087964716279 	 Buffalo-St John's
2019_1138_1387,0.8958608603792076 	 Buffalo-St Louis
2019_1138_1388,0.5255274769181777 	 Buffalo-St Mary's CA
2019_1138_1393,0.6836964406132778 	 Buffalo-Syracuse
2019_1138_1396,0.8552131930082965 	 Buffalo-Temple
2019_1138_1397,0.4712900754115133 	 Buffalo-Tennessee
2019_1138_1403,0.4716620533077729 	 Buffalo-Texas Tech
2019_1138_1414,0.9061450140927936 	 Buffalo-UC Irvine
2019_1138_1416,0.6828309974933613 	 Buffalo-UCF
2019_1138_1429,0.5779564509240873 	 Buffalo-Utah St
2019_1138_1433,0.609624370136148 	 Buffalo-VA Commonwealth
2019_1138_1436,0.8407321122165671 	 Buffalo-Vermont
2019_1138_1437,0.6786018032587623 	 Buffalo-Villanova
2019_1138_1438,0.24903693386530532 	 Buffalo-Virginia
2019_1138_1439,0.4897189181847955 	 Buffalo-Virginia Tech
2019_1138_1449,0.7506083955884779 	 Buffalo-Washington
